id,property,needs_translation,default,translated
J01AA01,NAME,u,Demeclocycline,دمکلوسایکلین
J01AA02,NAME,u,Doxycycline,داکسی سایکلین
J01AA03,NAME,u,Chlortetracycline,کلرتتراسایکلین
J01AA04,NAME,u,Lymecycline,لایمسایکلین
J01AA05,NAME,u,Metacycline,متاسیکلین
J01AA06,NAME,u,Oxytetracycline,اکسی تتراسایکلین
J01AA07,NAME,u,Tetracycline,تتراسایکلین
J01AA08,NAME,u,Minocycline,مینوسیکلین
J01AA09,NAME,u,Rolitetracycline,رولی تتراسایکلین
J01AA10,NAME,u,Penimepicycline,پنیمپی سیکلین
J01AA11,NAME,u,Clomocycline,کلوموسیکلین
J01AA12,NAME,u,Tigecycline,
J01AA13,NAME,u,Eravacycline,ارواسایکلین
J01AA14,NAME,u,Sarecycline,ساریسایکلین
J01AA15,NAME,u,Omadacycline,اوماداسایکلین
J01BA01,NAME,u,Chloramphenicol,کلرامفنیکل
J01BA02,NAME,u,Thiamphenicol,تیامفنیکل
J01CA01,NAME,u,Ampicillin,آمپی سیلین
J01CA02,NAME,u,Pivampicillin,پیوامپی سیلین
J01CA03,NAME,u,Carbenicillin,کاربنی سیلین
J01CA04,NAME,u,Amoxicillin,آموکسی سیلین
J01CA05,NAME,u,Carindacillin,کارینداسیلین
J01CA06,NAME,u,Bacampicillin,باکامپی سیلین
J01CA07,NAME,u,Epicillin,اپی سیلین
J01CA08,NAME,u,Pivmecillinam,پیومسیلینام
J01CA09,NAME,u,Azlocillin,آزلوسیلین
J01CA10,NAME,u,Mezlocillin,مزلوسیلین
J01CA11,NAME,u,Mecillinam,
J01CA12,NAME,u,Piperacillin,پیپراسیلین
J01CA13,NAME,u,Ticarcillin,تیکارسیلین
J01CA14,NAME,u,Metampicillin,متامپی سیلین
J01CA15,NAME,u,Talampicillin,تالامپی سیلین
J01CA16,NAME,u,Sulbenicillin,سولبنی سیلین
J01CA17,NAME,u,Temocillin,تموسیلین
J01CA18,NAME,u,Hetacillin,هتاسیلین
J01CA19,NAME,u,Aspoxicillin,آسپوکسی سیلین
J01CE01,NAME,u,Benzylpenicillin,بنزیل پنی سیلین
J01CE02,NAME,u,Phenoxymethylpenicillin,فنوکسی متیل پنی سیلین
J01CE03,NAME,u,Propicillin,پروپی سیلین
J01CE04,NAME,u,Azidocillin,آزیدوسیلین
J01CE05,NAME,u,Pheneticillin,فنتی سیلین
J01CE06,NAME,u,Penamecillin,پنامسیلین
J01CE07,NAME,u,Clometocillin,کلومتوسیلین
J01CE08,NAME,u,Benzathine benzylpenicillin,بنزاتین بنزیل پنی سیلین
J01CE09,NAME,u,Procaine benzylpenicillin,پروکائین بنزیل پنی سیلین
J01CE10,NAME,u,Benzathine phenoxymethylpenicillin,بنزاتین فنوکسی متیل پنی سیلین
J01CF01,NAME,u,Dicloxacillin,دیکلوکساسیلین
J01CF02,NAME,u,Cloxacillin,کلوکساسیلین
J01CF03,NAME,u,Meticillin,متی سیلین
J01CF04,NAME,u,Oxacillin,اگزاسیلین
J01CF05,NAME,u,Flucloxacillin,فلوکلوکساسیلین
J01CF06,NAME,u,Nafcillin,نافسیلین
J01CG01,NAME,u,Sulbactam,سولباکتام
J01CG02,NAME,u,Tazobactam,تازوباکتام
J01CR01,NAME,u,Ampicillin and beta-lactamase inhibitor,آمپی سیلین و مهارکننده بتالاکتاماز
J01CR02,NAME,u,Amoxicillin and beta-lactamase inhibitor,آموکسی سیلین و مهارکننده بتالاکتاماز
