id,property,needs_translation,default,translated
J01AA01,NAME,u,Demeclocycline,דמקלוציקלין
J01AA02,NAME,u,Doxycycline,דוקסיציקלין
J01AA03,NAME,u,Chlortetracycline,כלורטטרציקלין
J01AA04,NAME,u,Lymecycline,לימציקלין
J01AA05,NAME,u,Metacycline,מטאציקלין
J01AA06,NAME,u,Oxytetracycline,אוקסיטטרציקלין
J01AA07,NAME,u,Tetracycline,טטרציקלין
J01AA08,NAME,u,Minocycline,מינוציקלין
J01AA09,NAME,u,Rolitetracycline,רוליטטרציקלין
J01AA10,NAME,u,Penimepicycline,פנימפיציקלין
J01AA11,NAME,u,Clomocycline,
J01AA12,NAME,u,Tigecycline,
J01AA13,NAME,u,Eravacycline,ארוואציקלין
J01AA14,NAME,u,Sarecycline,סרציקלין
J01AA15,NAME,u,Omadacycline,אומאדציקלין
J01BA01,NAME,u,Chloramphenicol,כלורמפניקול
J01BA02,NAME,u,Thiamphenicol,תיאמפניקול
J01CA01,NAME,u,Ampicillin,אמפיצילין
J01CA02,NAME,u,Pivampicillin,
J01CA03,NAME,u,Carbenicillin,קרבניצילין
J01CA04,NAME,u,Amoxicillin,אמוקסיצילין
J01CA05,NAME,u,Carindacillin,קרינדצילין
J01CA06,NAME,u,Bacampicillin,בקמפיצילין
J01CA07,NAME,u,Epicillin,אפיצילין
J01CA08,NAME,u,Pivmecillinam,
J01CA09,NAME,u,Azlocillin,אזלוצילין
J01CA10,NAME,u,Mezlocillin,מזלוסילין
J01CA11,NAME,u,Mecillinam,מצילינאם
J01CA12,NAME,u,Piperacillin,פיפרצילין
J01CA13,NAME,u,Ticarcillin,טיקרצילין
J01CA14,NAME,u,Metampicillin,מטמפיצילין
J01CA15,NAME,u,Talampicillin,טלמפיצילין
J01CA16,NAME,u,Sulbenicillin,סולבניצילין
J01CA17,NAME,u,Temocillin,טמוצילין
J01CA18,NAME,u,Hetacillin,הטצילין
J01CA19,NAME,u,Aspoxicillin,אספוקסיצילין
