code,property,needs_translation,default,translated
NEOIPC,NAME,t,The NeoIPC Project,Das NeoIPC Projekt
NEOIPC,SHORT_NAME,f,NeoIPC,
AL,NAME,t,Shqipëria,Albanien
AL,SHORT_NAME,t,Shqipëria,Albanien
AL0,NAME,t,Shqipëria,Albanien
AL0,SHORT_NAME,t,Shqipëria,Albanien
AT,NAME,f,Österreich,
AT,SHORT_NAME,f,Österreich,
AT1,NAME,f,Ostösterreich,
AT1,SHORT_NAME,f,Ostösterreich,
AT2,NAME,f,Südösterreich,
AT2,SHORT_NAME,f,Südösterreich,
AT3,NAME,f,Westösterreich,
AT3,SHORT_NAME,f,Westösterreich,
BE,NAME,t,Belgique/België,Belgien
BE,SHORT_NAME,t,Belgique/België,Belgien
BE1,NAME,t,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt
BE1,SHORT_NAME,t,Bruxelles-Capitale/Brussels Hoofdstedelijk,Region Brüssel-Hauptstadt
BE2,NAME,t,Vlaams Gewest,Flämische Region
BE2,SHORT_NAME,t,Vlaams Gewest,Flämische Region
BE3,NAME,t,Région wallonne,Wallonische Region
BE3,SHORT_NAME,t,Région wallonne,Wallonische Region
BG,NAME,t,България [Bulgaria],Bulgarien
BG,SHORT_NAME,t,България,Bulgarien
BG3,NAME,t,Северна и Югоизточна България [Severna i Yugoiztochna Bulgaria],Nord- und Südostbulgarien
BG3,SHORT_NAME,t,Северна и Югоизточна България,Nord- und Südostbulgarien
BG4,NAME,t,Югозападна и Южна централна България [Yugozapadna i Yuzhna tsentralna Bulgaria],Südwest- und Südzentralbulgarien
BG4,SHORT_NAME,t,Югозападна и Южна централна България,Südwest- und Südzentralbulgarien
CH,NAME,t,Schweiz/Suisse/Svizzera,Schweiz
CH,SHORT_NAME,t,Schweiz/Suisse/Svizzera,Schweiz
CH0,NAME,t,Schweiz/Suisse/Svizzera,Schweiz
CH0,SHORT_NAME,t,Schweiz/Suisse/Svizzera,Schweiz
CY,NAME,t,Κύπρος [Kýpros],Zypern
CY,SHORT_NAME,t,Κύπρος,Zypern
CY0,NAME,t,Κύπρος [Kýpros],Zypern
CY0,SHORT_NAME,t,Κύπρος,Zypern
CZ,NAME,t,Česko,Tschechien
CZ,SHORT_NAME,t,Česko,Tschechien
CZ0,NAME,t,Česko,Tschechien
CZ0,SHORT_NAME,t,Česko,Tschechien
DE,NAME,f,Deutschland,
DE,SHORT_NAME,f,Deutschland,
DE1,NAME,f,Baden-Württemberg,
DE1,SHORT_NAME,f,Baden-Württemberg,
DE2,NAME,f,Bayern,
DE2,SHORT_NAME,f,Bayern,
DE3,NAME,f,Berlin,
DE3,SHORT_NAME,f,Berlin,
DE4,NAME,f,Brandenburg,
DE4,SHORT_NAME,f,Brandenburg,
DE5,NAME,f,Bremen,
DE5,SHORT_NAME,f,Bremen,
DE6,NAME,f,Hamburg,
DE6,SHORT_NAME,f,Hamburg,
DE7,NAME,f,Hessen,
DE7,SHORT_NAME,f,Hessen,
DE8,NAME,f,Mecklenburg-Vorpommern,
DE8,SHORT_NAME,f,Mecklenburg-Vorpommern,
DE9,NAME,f,Niedersachsen,
DE9,SHORT_NAME,f,Niedersachsen,
DEA,NAME,f,Nordrhein-Westfalen,
DEA,SHORT_NAME,f,Nordrhein-Westfalen,
DEB,NAME,f,Rheinland-Pfalz,
