code,property,needs_translation,default,translated
NEOIPC,NAME,f,The NeoIPC Project,
NEOIPC,SHORT_NAME,f,NeoIPC,
AL,NAME,t,Shqipëria,Albania
AL,SHORT_NAME,t,Shqipëria,Albania
AL0,NAME,t,Shqipëria,Albania
AL0,SHORT_NAME,t,Shqipëria,Albania
AT,NAME,t,Österreich,Austria
AT,SHORT_NAME,t,Österreich,Austria
AT1,NAME,t,Ostösterreich,East Austria
AT1,SHORT_NAME,t,Ostösterreich,East Austria
AT2,NAME,t,Südösterreich,South Austria
AT2,SHORT_NAME,t,Südösterreich,South Austria
AT3,NAME,t,Westösterreich,West Austria
AT3,SHORT_NAME,t,Westösterreich,West Austria
BE,NAME,t,Belgique/België,Belgium
BE,SHORT_NAME,t,Belgique/België,Belgium
BE1,NAME,t,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Brussels-Capital Region
BE1,SHORT_NAME,t,Bruxelles-Capitale/Brussels Hoofdstedelijk,Brussels-Capital Region
BE2,NAME,t,Vlaams Gewest,Flemish Region
BE2,SHORT_NAME,t,Vlaams Gewest,Flemish Region
BE3,NAME,t,Région wallonne,Walloon Region
BE3,SHORT_NAME,t,Région wallonne,Walloon Region
BG,NAME,t,България [Bulgaria],Bulgaria
BG,SHORT_NAME,t,България,Bulgaria
BG3,NAME,t,Северна и Югоизточна България [Severna i Yugoiztochna Bulgaria],Northern and Eastern Bulgaria
BG3,SHORT_NAME,t,Северна и Югоизточна България,Northern and Eastern Bulgaria
BG4,NAME,t,Югозападна и Южна централна България [Yugozapadna i Yuzhna tsentralna Bulgaria],South-Western and South-Central Bulgaria
BG4,SHORT_NAME,t,Югозападна и Южна централна България,South-Western and South-Central Bulgaria
CH,NAME,t,Schweiz/Suisse/Svizzera,Switzerland
CH,SHORT_NAME,t,Schweiz/Suisse/Svizzera,Switzerland
CH0,NAME,t,Schweiz/Suisse/Svizzera,Switzerland
CH0,SHORT_NAME,t,Schweiz/Suisse/Svizzera,Switzerland
CY,NAME,t,Κύπρος [Kýpros],Cyprus
CY,SHORT_NAME,t,Κύπρος,Cyprus
CY0,NAME,t,Κύπρος [Kýpros],Cyprus
CY0,SHORT_NAME,t,Κύπρος,Cyprus
CZ,NAME,t,Česko,Czech Republic
CZ,SHORT_NAME,t,Česko,Czech Republic
CZ0,NAME,t,Česko,Czech Republic
CZ0,SHORT_NAME,t,Česko,Czech Republic
DE,NAME,t,Deutschland,Germany
DE,SHORT_NAME,t,Deutschland,Germany
DE1,NAME,f,Baden-Württemberg,
DE1,SHORT_NAME,f,Baden-Württemberg,
DE2,NAME,t,Bayern,Bavaria
DE2,SHORT_NAME,t,Bayern,Bavaria
DE3,NAME,f,Berlin,
DE3,SHORT_NAME,f,Berlin,
DE4,NAME,f,Brandenburg,
DE4,SHORT_NAME,f,Brandenburg,
DE5,NAME,f,Bremen,
DE5,SHORT_NAME,f,Bremen,
DE6,NAME,f,Hamburg,
DE6,SHORT_NAME,f,Hamburg,
DE7,NAME,t,Hessen,Hesse
DE7,SHORT_NAME,t,Hessen,Hesse
DE8,NAME,f,Mecklenburg-Vorpommern,
DE8,SHORT_NAME,f,Mecklenburg-Vorpommern,
DE9,NAME,t,Niedersachsen,Lower Saxony
DE9,SHORT_NAME,t,Niedersachsen,Lower Saxony
DEA,NAME,t,Nordrhein-Westfalen,North Rhine-Westphalia
DEA,SHORT_NAME,t,Nordrhein-Westfalen,North Rhine-Westphalia
DEB,NAME,t,Rheinland-Pfalz,Rhineland-Palatinate
DEB,SHORT_NAME,t,Rheinland-Pfalz,Rhineland-Palatinate
DEC,NAME,f,Saarland,
DEC,SHORT_NAME,f,Saarland,
DED,NAME,t,Sachsen,Saxony
DED,SHORT_NAME,t,Sachsen,Saxony
DEE,NAME,t,Sachsen-Anhalt,Saxony-Anhalt
DEE,SHORT_NAME,t,Sachsen-Anhalt,Saxony-Anhalt
DEF,NAME,f,Schleswig-Holstein,
DEF,SHORT_NAME,f,Schleswig-Holstein,
DEG,NAME,t,Thüringen,Thuringia
DEG,SHORT_NAME,t,Thüringen,Thuringia
DK,NAME,t,Danmark,Denmark
DK,SHORT_NAME,t,Danmark,Denmark
DK0,NAME,t,Danmark,Denmark
DK0,SHORT_NAME,t,Danmark,Denmark
