id,property,needs_translation,default,translated
3gcr,VALUE,u,3GCR,
bacterial_genus,VALUE,u,Bacterial genus,
bacterial_group,VALUE,u,Group of bacterial species,
bacterial_serotype,VALUE,u,Bacterial serotype,
bacterial_species,VALUE,u,Bacterial species,
bacterial_species_complex,VALUE,u,Bacterial species complex,
bacterial_subspecies,VALUE,u,Bacterial subspecies,
carbapenems,VALUE,u,Carbapenems,
colistin,VALUE,u,Colistin,
common_commensal,VALUE,u,Common commensal,
fungal_genus,VALUE,u,Fungal genus,
fungal_species,VALUE,u,Fungal species,
fungal_species_complex,VALUE,u,Fungal species complex,
fungal_variety,VALUE,u,Fungal variety,
mrsa,VALUE,u,MRSA,
recognised_pathogen,VALUE,u,Recognised pathogen,
unknown,VALUE,u,Unknown,
viral_clade,VALUE,u,Viral clade,
viral_family,VALUE,u,Viral family,
viral_genus,VALUE,u,Viral genus,
viral_group,VALUE,u,Viral group,
viral_serotype,VALUE,u,Viral serotype,
viral_species,VALUE,u,Viral species,
vre,VALUE,u,VRE,
