id,property,needs_translation,translated
3gcr,VALUE,f,
bacterial_genus,VALUE,t,Género bacteriano
bacterial_group,VALUE,t,Grupo bacteriano
bacterial_serotype,VALUE,t,Serotipo bacteriano
bacterial_species,VALUE,t,Especie bacteriana
bacterial_species_complex,VALUE,t,Complejo de especies bacterianas
bacterial_subspecies,VALUE,t,Subespecie bacteriana
carbapenems,VALUE,t,Carbapenemas
colistin,VALUE,t,Colistina
common_commensal,VALUE,t,Comensal común
fungal_genus,VALUE,t,Género fúngico
fungal_species,VALUE,t,Especie fúngica
fungal_species_complex,VALUE,t,Complejo de especies de hongos
fungal_variety,VALUE,t,Variedad de hongos
mrsa,VALUE,t,SARM
recognised_pathogen,VALUE,t,Patógeno reconocido
unknown,VALUE,t,Desconocido
viral_clade,VALUE,t,Clado vírico
viral_family,VALUE,t,Familia de virus
viral_genus,VALUE,t,Género de virus
viral_group,VALUE,t,Grupo vírico
viral_serotype,VALUE,t,Serotipo vírico
viral_species,VALUE,t,Tipo de virus
vre,VALUE,f,
