id,property,needs_translation,default,translated
0,CONCEPT,u,Not listed,
1436,CONCEPT,u,Abiotrophia,
108,CONCEPT,u,Abiotrophia defectiva,
3370,CONCEPT,u,Acaulium acremonium,
57,CONCEPT,u,Acholeplasma,
829,CONCEPT,u,Acholeplasma laidlawii,
1347,CONCEPT,u,Acholeplasma oculi,
2476,CONCEPT,u,Achromobacter,
2395,CONCEPT,u,Achromobacter denitrificans,
752,CONCEPT,u,Achromobacter piechaudii,
366,CONCEPT,u,Achromobacter ruhlandii,
1374,CONCEPT,u,Achromobacter xylosoxidans,
2521,CONCEPT,u,Acidaminococcus,
746,CONCEPT,u,Acidaminococcus fermentans,
3030,CONCEPT,u,Acidipropionibacterium acidipropionici,
3272,CONCEPT,u,Acidipropionibacterium jensenii,
2991,CONCEPT,u,Acidipropionibacterium microaerophilum,
3286,CONCEPT,u,Acidipropionibacterium thoenii,
312,CONCEPT,u,Acidovorax,
807,CONCEPT,u,Acidovorax delafieldii,
274,CONCEPT,u,Acidovorax facilis,
1086,CONCEPT,u,Acidovorax temperans,
2409,CONCEPT,u,Acinetobacter,
1660,CONCEPT,u,Acinetobacter baumannii,
2808,CONCEPT,u,Acinetobacter baylyi,
2809,CONCEPT,u,Acinetobacter beijerinckii,
2810,CONCEPT,u,Acinetobacter bereziniae,
1141,CONCEPT,u,Acinetobacter calcoaceticus,
2704,CONCEPT,u,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,
2811,CONCEPT,u,Acinetobacter guillouiae,
2812,CONCEPT,u,Acinetobacter gyllenbergii,
1727,CONCEPT,u,Acinetobacter haemolyticus,
2494,CONCEPT,u,Acinetobacter johnsonii,
2318,CONCEPT,u,Acinetobacter junii,
2705,CONCEPT,u,Acinetobacter lwoffii,
1448,CONCEPT,u,Acinetobacter nosocomialis,
2813,CONCEPT,u,Acinetobacter parvus,
2114,CONCEPT,u,Acinetobacter pittii,
1698,CONCEPT,u,Acinetobacter radioresistens,
1877,CONCEPT,u,Acinetobacter schindleri,
2814,CONCEPT,u,Acinetobacter seifertii,
2815,CONCEPT,u,Acinetobacter septicus,
2107,CONCEPT,u,Acinetobacter ursingii,
2816,CONCEPT,u,Acinetobacter variabilis,
105,CONCEPT,u,Acremonium,
2698,CONCEPT,u,Acremonium alabamense,
2301,CONCEPT,u,Acremonium potronii,
2583,CONCEPT,u,Actinobacillus,
386,CONCEPT,u,Actinobacillus equuli,
1263,CONCEPT,u,Actinobacillus hominis,
957,CONCEPT,u,Actinobacillus lignieresii,
2196,CONCEPT,u,Actinobacillus suis,
1592,CONCEPT,u,Actinobacillus ureae,
890,CONCEPT,u,Actinobaculum,
2930,CONCEPT,u,Actinobaculum massiliense,
1198,CONCEPT,u,Actinomadura,
2428,CONCEPT,u,Actinomadura latina,
1902,CONCEPT,u,Actinomadura madurae,
1513,CONCEPT,u,Actinomadura pelletieri,
2962,CONCEPT,u,Actinomortierella wolfii,
743,CONCEPT,u,Actinomyces,
1833,CONCEPT,u,Actinomyces bovis,
702,CONCEPT,u,Actinomyces dentalis,
1677,CONCEPT,u,Actinomyces gerencseriae,
2434,CONCEPT,u,Actinomyces graevenitzii,
1341,CONCEPT,u,Actinomyces israelii,
1152,CONCEPT,u,Actinomyces naeslundii,
639,CONCEPT,u,Actinomyces oricola,
2519,CONCEPT,u,Actinomyces oris,
538,CONCEPT,u,Actinomyces radicidentis,
67,CONCEPT,u,Actinomyces urogenitalis,
1104,CONCEPT,u,Actinomyces viscosus,
2442,CONCEPT,u,Actinotignum,
2313,CONCEPT,u,Actinotignum schaalii,
239,CONCEPT,u,Actinotignum urinale,
1628,CONCEPT,u,Aerococcus,
1668,CONCEPT,u,Aerococcus christensenii,
1333,CONCEPT,u,Aerococcus sanguinicola,
1672,CONCEPT,u,Aerococcus urinae,
813,CONCEPT,u,Aerococcus urinaeequi,
2019,CONCEPT,u,Aerococcus urinaehominis,
945,CONCEPT,u,Aerococcus viridans,
1731,CONCEPT,u,Aeromonas,
1765,CONCEPT,u,Aeromonas bestiarum,
461,CONCEPT,u,Aeromonas caviae,
2316,CONCEPT,u,Aeromonas encheleia,
2578,CONCEPT,u,Aeromonas enteropelogenes,
1801,CONCEPT,u,Aeromonas eucrenophila,
107,CONCEPT,u,Aeromonas hydrophila,
983,CONCEPT,u,Aeromonas jandaei,
32,CONCEPT,u,Aeromonas media,
2563,CONCEPT,u,Aeromonas molluscorum,
232,CONCEPT,u,Aeromonas popoffii,
2328,CONCEPT,u,Aeromonas salmonicida,
1985,CONCEPT,u,Aeromonas schubertii,
2293,CONCEPT,u,Aeromonas simiae,
763,CONCEPT,u,Aeromonas sobria,
2573,CONCEPT,u,Aeromonas veronii,
1269,CONCEPT,u,Afipia,
334,CONCEPT,u,Afipia clevelandensis,
35,CONCEPT,u,Afipia felis,
3182,CONCEPT,u,Agathobacter rectalis,
1896,CONCEPT,u,Aggregatibacter,
697,CONCEPT,u,Aggregatibacter actinomycetemcomitans,
2085,CONCEPT,u,Aggregatibacter aphrophilus,
89,CONCEPT,u,Aggregatibacter segnis,
830,CONCEPT,u,Agrobacterium,
1008,CONCEPT,u,Agrobacterium radiobacter,
3076,CONCEPT,u,Agrobacterium rubi,
2432,CONCEPT,u,Agromyces,
93,CONCEPT,u,Alcaligenes,
602,CONCEPT,u,Alcaligenes faecalis,
1764,CONCEPT,u,Aleurisma,
1995,CONCEPT,u,Alishewanella,
2072,CONCEPT,u,Alishewanella fetalis,
1906,CONCEPT,u,Alistipes,
1619,CONCEPT,u,Alistipes putredinis,
3258,CONCEPT,u,Alkalicoccus saliphilus,
2992,CONCEPT,u,Alkalihalobacillus alcalophilus,
3093,CONCEPT,u,Alkalihalobacillus algicola,
3046,CONCEPT,u,Alkalihalobacillus macyae,
2984,CONCEPT,u,Alkalihalobacillus pseudalcaliphilus,
3230,CONCEPT,u,Alkalihalophilus pseudofirmus,
1384,CONCEPT,u,Alloiococcus,
134,CONCEPT,u,Alloiococcus otitis,
3223,CONCEPT,u,Alloprevotella tannerae,
3139,CONCEPT,u,Allorhizobium vitis,
786,CONCEPT,u,Alloscardovia,
2320,CONCEPT,u,Alloscardovia omnicolens,
2795,CONCEPT,u,Alpha-hemolytic streptococci,
2654,CONCEPT,u,Alphainfluenzavirus influenzae,
874,CONCEPT,u,Alternaria,
1869,CONCEPT,u,Alternaria alternata,
858,CONCEPT,u,Alternaria dianthicola,
1019,CONCEPT,u,Alternaria infectoria,
1749,CONCEPT,u,Alternaria tenuissima,
2247,CONCEPT,u,Alysiella,
1658,CONCEPT,u,Alysiella crassa,
3244,CONCEPT,u,Amedibacillus dolichus,
3383,CONCEPT,u,Amesia atrobrunnea,
1492,CONCEPT,u,Amycolatopsis,
686,CONCEPT,u,Amycolatopsis orientalis,
2982,CONCEPT,u,Anaerobacillus arseniciselenatis,
337,CONCEPT,u,Anaerobiospirillum,
1871,CONCEPT,u,Anaerobiospirillum succiniciproducens,
968,CONCEPT,u,Anaerobiospirillum thomasii,
3180,CONCEPT,u,Anaerobutyricum hallii,
1925,CONCEPT,u,Anaerococcus,
814,CONCEPT,u,Anaerococcus hydrogenalis,
1772,CONCEPT,u,Anaerococcus lactolyticus,
2382,CONCEPT,u,Anaerococcus octavius,
37,CONCEPT,u,Anaerococcus prevotii,
1388,CONCEPT,u,Anaerococcus tetradius,
2031,CONCEPT,u,Anaerococcus vaginalis,
767,CONCEPT,u,Anaerorhabdus,
3051,CONCEPT,u,Anaerorhabdus furcosa,
3058,CONCEPT,u,Anaerostipes hadrus,
2123,CONCEPT,u,Anaplasma,
331,CONCEPT,u,Aneurinibacillus,
1921,CONCEPT,u,Aneurinibacillus aneurinilyticus,
3412,CONCEPT,u,Apiotrichum loubieri,
3398,CONCEPT,u,Apiotrichum mycotoxinovorans,
449,CONCEPT,u,Apophysomyces,
1828,CONCEPT,u,Apophysomyces elegans,
1554,CONCEPT,u,Aquabacterium,
14,CONCEPT,u,Aquabacterium parvum,
2436,CONCEPT,u,Arachnia propionica,
439,CONCEPT,u,Arcanobacterium,
1418,CONCEPT,u,Arcanobacterium haemolyticum,
90,CONCEPT,u,Arcanobacterium pluranimalium,
81,CONCEPT,u,Arcobacter,
2349,CONCEPT,u,Arcobacter butzleri,
875,CONCEPT,u,Arcobacter nitrofigilis,
2535,CONCEPT,u,Arsenicicoccus,
327,CONCEPT,u,Arsenicicoccus bolidensis,
1003,CONCEPT,u,Arthrobacter,
1287,CONCEPT,u,Arthrobacter agilis,
1115,CONCEPT,u,Arthrobacter citreus,
1370,CONCEPT,u,Arthrobacter crystallopoietes,
2343,CONCEPT,u,Arthrobacter flavus,
1196,CONCEPT,u,Arthrobacter gandavensis,
1477,CONCEPT,u,Arthrobacter globiformis,
1529,CONCEPT,u,Arthrobacter koreensis,
43,CONCEPT,u,Arthrobacter luteolus,
805,CONCEPT,u,Arthrobacter methylotrophus,
1085,CONCEPT,u,Arthrobacter oryzae,
2058,CONCEPT,u,Arthrobacter pascens,
1587,CONCEPT,u,Arthrobacter psychrolactophilus,
1496,CONCEPT,u,Arthrobacter ramosus,
1111,CONCEPT,u,Arthrobacter rhombi,
1808,CONCEPT,u,Arthrobacter roseus,
1638,CONCEPT,u,Arthrobacter russicus,
1175,CONCEPT,u,Arthrobacter woluwensis,
1332,CONCEPT,u,Arthroderma,
465,CONCEPT,u,Arthrographis,
3116,CONCEPT,u,Asaccharospora irregularis,
266,CONCEPT,u,Aspergillus candidus,
2205,CONCEPT,u,Aspergillus clavatus,
2048,CONCEPT,u,Aspergillus deflectus,
3406,CONCEPT,u,Aspergillus fischeri,
902,CONCEPT,u,Aspergillus flavipes,
2480,CONCEPT,u,Aspergillus flavus,
3396,CONCEPT,u,Aspergillus flavus var. oryzae,
1717,CONCEPT,u,Aspergillus fumigatus,
853,CONCEPT,u,Aspergillus glaucus,
2046,CONCEPT,u,Aspergillus nidulans,
2197,CONCEPT,u,Aspergillus niger,
1694,CONCEPT,u,Aspergillus niveus,
664,CONCEPT,u,Aspergillus ochraceus,
2150,CONCEPT,u,Aspergillus parasiticus,
1723,CONCEPT,u,Aspergillus restrictus,
2288,CONCEPT,u,Aspergillus sydowii,
976,CONCEPT,u,Aspergillus terreus,
2314,CONCEPT,u,Aspergillus ustus,
2188,CONCEPT,u,Aspergillus versicolor,
868,CONCEPT,u,Aspergillus wentii,
539,CONCEPT,u,Astroviridae,
1858,CONCEPT,u,Atopobium,
2191,CONCEPT,u,Atopobium fossor,
1742,CONCEPT,u,Atopobium minutum,
1072,CONCEPT,u,Aureimonas,
1665,CONCEPT,u,Aureimonas altamirensis,
2492,CONCEPT,u,Aureobasidium,
2964,CONCEPT,u,Aureobasidium pullulans,
2931,CONCEPT,u,Averyella,
2932,CONCEPT,u,Averyella dalhousiensis,
1400,CONCEPT,u,Azorhizobium,
1,CONCEPT,u,Azorhizobium caulinodans,
2581,CONCEPT,u,Azospirillum,
1918,CONCEPT,u,Azospirillum brasilense,
3349,CONCEPT,u,Azymocandida mycoderma,
1256,CONCEPT,u,Bacillus,
2933,CONCEPT,u,Bacillus aeolius,
2934,CONCEPT,u,Bacillus aerius,
315,CONCEPT,u,Bacillus amyloliquefaciens,
3290,CONCEPT,u,Bacillus aneurinilyticus,
2032,CONCEPT,u,Bacillus anthracis,
1796,CONCEPT,u,Bacillus atrophaeus,
1617,CONCEPT,u,Bacillus badius,
2241,CONCEPT,u,Bacillus benzoevorans,
1403,CONCEPT,u,Bacillus carboniphilus,
1202,CONCEPT,u,Bacillus cereus,
2935,CONCEPT,u,Bacillus cereus group,
2912,CONCEPT,u,Bacillus cytotoxicus,
130,CONCEPT,u,Bacillus decisifrondis,
1581,CONCEPT,u,Bacillus horti,
3329,CONCEPT,u,Bacillus inaquosorum,
1962,CONCEPT,u,Bacillus infantis,
2306,CONCEPT,u,Bacillus infernus,
1406,CONCEPT,u,Bacillus licheniformis,
1038,CONCEPT,u,Bacillus methanolicus,
672,CONCEPT,u,Bacillus mojavensis,
2506,CONCEPT,u,Bacillus mycoides,
2089,CONCEPT,u,Bacillus pseudomycoides,
2045,CONCEPT,u,Bacillus pumilus,
1941,CONCEPT,u,Bacillus smithii,
2560,CONCEPT,u,Bacillus sonorensis,
3213,CONCEPT,u,Bacillus spizizenii,
1364,CONCEPT,u,Bacillus subtilis,
2938,CONCEPT,u,Bacillus subtilis group,
851,CONCEPT,u,Bacillus tequilensis,
2525,CONCEPT,u,Bacillus thermoamylovorans,
794,CONCEPT,u,Bacillus thermocloacae,
282,CONCEPT,u,Bacillus thuringiensis,
854,CONCEPT,u,Bacillus vallismortis,
659,CONCEPT,u,Bacillus velezensis,
44,CONCEPT,u,Bacteroides,
2408,CONCEPT,u,Bacteroides caccae,
2896,CONCEPT,u,Bacteroides denticanum,
1923,CONCEPT,u,Bacteroides eggerthii,
2899,CONCEPT,u,Bacteroides faecis,
2900,CONCEPT,u,Bacteroides fluxus,
1296,CONCEPT,u,Bacteroides fragilis,
2939,CONCEPT,u,Bacteroides fragilis group,
2902,CONCEPT,u,Bacteroides galacturonicus,
