id,property,needs_translation,default,translated
1230,SYNONYM,u,Abiotrophia adiacens,
1195,SYNONYM,u,Abiotrophia elegans,
1482,SYNONYM,u,Achromobacter xylosoxidans xylosoxidans,
2179,SYNONYM,u,Acladium castellanii,
2699,SYNONYM,u,Acremonium alabamensis,
96,SYNONYM,u,Acremonium kiliense,
1064,SYNONYM,u,Acremonium recifei,
2154,SYNONYM,u,Acremonium strictum,
114,SYNONYM,u,Acrotheca aquaspersa,
1049,SYNONYM,u,Actinobacillus actinomycetemcomitans,
2207,SYNONYM,u,Actinobaculum schaalii,
839,SYNONYM,u,Actinobaculum urinale,
688,SYNONYM,u,Actinomyces bernardiae,
2162,SYNONYM,u,Actinomyces cardiffensis,
1676,SYNONYM,u,Actinomyces europaeus,
2229,SYNONYM,u,Actinomyces funkei,
988,SYNONYM,u,Actinomyces georgiae,
1214,SYNONYM,u,Actinomyces hongkongensis,
2211,SYNONYM,u,Actinomyces meyeri,
759,SYNONYM,u,Actinomyces nasicola,
2055,SYNONYM,u,Actinomyces neuii,
2466,SYNONYM,u,Actinomyces odontolyticus,
119,SYNONYM,u,Actinomyces radingae,
1558,SYNONYM,u,Actinomyces turicensis,
2379,SYNONYM,u,Aeromonas punctata,
652,SYNONYM,u,Aeromonas trota,
2274,SYNONYM,u,Alcaligenes piechaudii,
1584,SYNONYM,u,Alcaligenes xylosoxidans,
1718,SYNONYM,u,Aleurisma apiospermum,
683,SYNONYM,u,Allescheria boydii,
1659,SYNONYM,u,Anaerorhabdus furcosus,
2239,SYNONYM,u,Arcanobacterium bernardiae,
112,SYNONYM,u,Arcanobacterium pyogenes,
1280,SYNONYM,u,Arthrobacter albus,
961,SYNONYM,u,Arthrobacter arilaitensis,
1573,SYNONYM,u,Arthrobacter aurescens,
894,SYNONYM,u,Arthrobacter bergerei,
304,SYNONYM,u,Arthrobacter chlorophenolicus,
877,SYNONYM,u,Arthrobacter creatinolyticus,
1916,SYNONYM,u,Arthrobacter cumminsii,
862,SYNONYM,u,Arthrobacter gangotriensis,
199,SYNONYM,u,Arthrobacter histidinolovorans,
2258,SYNONYM,u,Arthrobacter ilicis,
133,SYNONYM,u,Arthrobacter kerguelensis,
211,SYNONYM,u,Arthrobacter mysorens,
1174,SYNONYM,u,Arthrobacter nasiphocae,
2287,SYNONYM,u,Arthrobacter nicotianae,
1344,SYNONYM,u,Arthrobacter nicotinovorans,
434,SYNONYM,u,Arthrobacter nitroguajacolicus,
1058,SYNONYM,u,Arthrobacter oxydans,
1952,SYNONYM,u,Arthrobacter polychromogenes,
1728,SYNONYM,u,Arthrobacter protophormiae,
980,SYNONYM,u,Arthrobacter psychrophenolicus,
1733,SYNONYM,u,Arthrobacter scleromae,
183,SYNONYM,u,Arthrobacter siderocapsulatus,
363,SYNONYM,u,Arthrobacter sulfonivorans,
1136,SYNONYM,u,Arthrobacter sulfureus,
563,SYNONYM,u,Arthrobacter uratoxydans,
1852,SYNONYM,u,Arthrobacter ureafaciens,
123,SYNONYM,u,Arthrobacter variabilis,
1386,SYNONYM,u,Arthrobacter viscosus,
2355,SYNONYM,u,Aspergillus oryzae,
1812,SYNONYM,u,Atopobium parvulum,
1664,SYNONYM,u,Atopobium rimae,
479,SYNONYM,u,Atopobium vaginae,
1951,SYNONYM,u,Aurantimonas altamirensis,
2554,SYNONYM,u,Aureobacterium liquefaciens,
1943,SYNONYM,u,Azymoprocandida lipolytica,
2614,SYNONYM,u,B19 virus,
2470,SYNONYM,u,BK polyomavirus,
278,SYNONYM,u,Bacillus agaradhaerens,
320,SYNONYM,u,Bacillus agri,
722,SYNONYM,u,Bacillus alcalophilus,
1621,SYNONYM,u,Bacillus algicola,
671,SYNONYM,u,Bacillus alvei,
1035,SYNONYM,u,Bacillus aneurinolyticus,
2329,SYNONYM,u,Bacillus aquimaris,
218,SYNONYM,u,Bacillus arseniciselenatis,
634,SYNONYM,u,Bacillus asahii,
1000,SYNONYM,u,Bacillus azotoformans,
603,SYNONYM,u,Bacillus barbaricus,
267,SYNONYM,u,Bacillus bataviensis,
2324,SYNONYM,u,Bacillus boroniphilus,
48,SYNONYM,u,Bacillus brevis,
482,SYNONYM,u,Bacillus butanolivorans,
804,SYNONYM,u,Bacillus centrosporus,
2034,SYNONYM,u,Bacillus circulans,
2500,SYNONYM,u,Bacillus clarkii,
789,SYNONYM,u,Bacillus clausii,
2228,SYNONYM,u,Bacillus coagulans,
