code,property,needs_translation,default,translated
AL0_TEST,NAME,t,Testhospital - Shqipëria,Testkrankenhaus - Albanien
AL0_TEST,SHORT_NAME,t,Testhosp. AL0,Testkrh. AL0
AL0_TEST_TEST,NAME,t,Testdepartment - Shqipëria,Testabteilung - Albanien
AL0_TEST_TEST,SHORT_NAME,t,Testdep. AL0,Testabt. AL0
AT1_TEST,NAME,t,Testhospital - Ostösterreich,Testkrankenhaus - Ostösterreich
AT1_TEST,SHORT_NAME,t,Testhosp. AT1,Testkrh. AT1
AT1_TEST_TEST,NAME,t,Testdepartment - Ostösterreich,Testabteilung - Ostösterreich
AT1_TEST_TEST,SHORT_NAME,t,Testdep. AT1,Testabt. AT1
AT2_TEST,NAME,t,Testhospital - Südösterreich,Testkrankenhaus - Südösterreich
AT2_TEST,SHORT_NAME,t,Testhosp. AT2,Testkrh. AT2
AT2_TEST_TEST,NAME,t,Testdepartment - Südösterreich,Testabteilung - Südösterreich
AT2_TEST_TEST,SHORT_NAME,t,Testdep. AT2,Testabt. AT2
AT3_TEST,NAME,t,Testhospital - Westösterreich,Testkrankenhaus - Westösterreich
AT3_TEST,SHORT_NAME,t,Testhosp. AT3,Testkrh. AT3
AT3_TEST_TEST,NAME,t,Testdepartment - Westösterreich,Testabteilung - Westösterreich
AT3_TEST_TEST,SHORT_NAME,t,Testdep. AT3,Testabt. AT3
BE1_TEST,NAME,t,Testhospital - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testkrankenhaus - Region Brüssel-Hauptstadt
BE1_TEST,SHORT_NAME,t,Testhosp. BE1,Testkrh. BE1
BE1_TEST_TEST,NAME,t,Testdepartment - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testabteilung - Region Brüssel-Hauptstadt
BE1_TEST_TEST,SHORT_NAME,t,Testdep. BE1,Testabt. BE1
BE2_TEST,NAME,t,Testhospital - Vlaams Gewest,Testkrankenhaus - Flämische Region
BE2_TEST,SHORT_NAME,t,Testhosp. BE2,Testkrh. BE2
BE2_TEST_TEST,NAME,t,Testdepartment - Vlaams Gewest,Testabteilung - Flämische Region
BE2_TEST_TEST,SHORT_NAME,t,Testdep. BE2,Testabt. BE2
BE3_TEST,NAME,t,Testhospital - Région wallonne,Testkrankenhaus - Wallonische Region
BE3_TEST,SHORT_NAME,t,Testhosp. BE3,Testkrh. BE3
BE3_TEST_TEST,NAME,t,Testdepartment - Région wallonne,Testabteilung - Wallonische Region
BE3_TEST_TEST,SHORT_NAME,t,Testdep. BE3,Testabt. BE3
BG3_TEST,NAME,t,Testhospital - Северна и Югоизточна България,Testkrankenhaus - Nord- und Südostbulgarien
BG3_TEST,SHORT_NAME,t,Testhosp. BG3,Testkrh. BG3
BG3_TEST_TEST,NAME,t,Testdepartment - Северна и Югоизточна България,Testabteilung - Nord- und Südostbulgarien
BG3_TEST_TEST,SHORT_NAME,t,Testdep. BG3,Testabt. BG3
BG4_TEST,NAME,t,Testhospital - Югозападна и Южна централна България,Testkrankenhaus - Südwest- und Südzentralbulgarien
BG4_TEST,SHORT_NAME,t,Testhosp. BG4,Testkrh. BG4
BG4_TEST_TEST,NAME,t,Testdepartment - Югозападна и Южна централна България,Testabteilung - Südwest- und Südzentralbulgarien
BG4_TEST_TEST,SHORT_NAME,t,Testdep. BG4,Testabt. BG4
CH0_TEST,NAME,t,Testhospital - Schweiz/Suisse/Svizzera,Testkrankenhaus - Schweiz
CH0_TEST,SHORT_NAME,t,Testhosp. CH0,Testkrh. CH0
CH0_TEST_TEST,NAME,t,Testdepartment - Schweiz/Suisse/Svizzera,Testabteilung - Schweiz
CH0_TEST_TEST,SHORT_NAME,t,Testdep. CH0,Testabt. CH0
CY0_TEST,NAME,t,Testhospital - Κύπρος,Testkrankenhaus - Zypern
CY0_TEST,SHORT_NAME,t,Testhosp. CY0,Testkrh. CY0
CY0_TEST_TEST,NAME,t,Testdepartment - Κύπρος,Testabteilung - Zypern
CY0_TEST_TEST,SHORT_NAME,t,Testdep. CY0,Testabt. CY0
CZ0_TEST,NAME,t,Testhospital - Česko,Testkrankenhaus - Tschechien
CZ0_TEST,SHORT_NAME,t,Testhosp. CZ0,Testkrh. CZ0
CZ0_TEST_TEST,NAME,t,Testdepartment - Česko,Testabteilung - Tschechien
CZ0_TEST_TEST,SHORT_NAME,t,Testdep. CZ0,Testabt. CZ0
DE1_TEST,NAME,t,Testhospital - Baden-Württemberg,Testkrankenhaus - Baden-Württemberg
DE1_TEST,SHORT_NAME,t,Testhosp. DE1,Testkrh. DE1
DE1_TEST_TEST,NAME,t,Testdepartment - Baden-Württemberg,Testabteilung - Baden-Württemberg
DE1_TEST_TEST,SHORT_NAME,t,Testdep. DE1,Testabt. DE1
DE2_TEST,NAME,t,Testhospital - Bayern,Testkrankenhaus - Bayern
DE2_TEST,SHORT_NAME,t,Testhosp. DE2,Testkrh. DE2
DE2_TEST_TEST,NAME,t,Testdepartment - Bayern,Testabteilung - Bayern
DE2_TEST_TEST,SHORT_NAME,t,Testdep. DE2,Testabt. DE2
DE3_TEST,NAME,t,Testhospital - Berlin,Testkrankenhaus - Berlin
DE3_TEST,SHORT_NAME,t,Testhosp. DE3,Testkrh. DE3
DE3_TEST_TEST,NAME,t,Testdepartment - Berlin,Testabteilung - Berlin
DE3_TEST_TEST,SHORT_NAME,t,Testdep. DE3,Testabt. DE3
DE4_TEST,NAME,t,Testhospital - Brandenburg,Testkrankenhaus - Brandenburg
DE4_TEST,SHORT_NAME,t,Testhosp. DE4,Testkrh. DE4
DE4_TEST_TEST,NAME,t,Testdepartment - Brandenburg,Testabteilung - Brandenburg
DE4_TEST_TEST,SHORT_NAME,t,Testdep. DE4,Testabt. DE4
DE5_TEST,NAME,t,Testhospital - Bremen,Testkrankenhaus - Bremen
DE5_TEST,SHORT_NAME,t,Testhosp. DE5,Testkrh. DE5
DE5_TEST_TEST,NAME,t,Testdepartment - Bremen,Testabteilung - Bremen
DE5_TEST_TEST,SHORT_NAME,t,Testdep. DE5,Testabt. DE5
DE6_TEST,NAME,t,Testhospital - Hamburg,Testkrankenhaus - Hamburg
DE6_TEST,SHORT_NAME,t,Testhosp. DE6,Testkrh. DE6
DE6_TEST_TEST,NAME,t,Testdepartment - Hamburg,Testabteilung - Hamburg
DE6_TEST_TEST,SHORT_NAME,t,Testdep. DE6,Testabt. DE6
DE7_TEST,NAME,t,Testhospital - Hessen,Testkrankenhaus - Hessen
DE7_TEST,SHORT_NAME,t,Testhosp. DE7,Testkrh. DE7
DE7_TEST_TEST,NAME,t,Testdepartment - Hessen,Testabteilung - Hessen
DE7_TEST_TEST,SHORT_NAME,t,Testdep. DE7,Testabt. DE7
