code,property,needs_translation,default,translated
AL0_TEST,NAME,t,Testhospital - Shqipëria,Testhospital - Albania
AL0_TEST,SHORT_NAME,f,Testhosp. AL0,
AL0_TEST_TEST,NAME,t,Testdepartment - Shqipëria,Testdepartment - Albania
AL0_TEST_TEST,SHORT_NAME,f,Testdep. AL0,
AT1_TEST,NAME,t,Testhospital - Ostösterreich,Testhospital - East Austria
AT1_TEST,SHORT_NAME,f,Testhosp. AT1,
AT1_TEST_TEST,NAME,t,Testdepartment - Ostösterreich,Testdepartment - East Austria
AT1_TEST_TEST,SHORT_NAME,f,Testdep. AT1,
AT2_TEST,NAME,t,Testhospital - Südösterreich,Testhospital - South Austria
AT2_TEST,SHORT_NAME,f,Testhosp. AT2,
AT2_TEST_TEST,NAME,t,Testdepartment - Südösterreich,Testdepartment - South Austria
AT2_TEST_TEST,SHORT_NAME,f,Testdep. AT2,
AT3_TEST,NAME,t,Testhospital - Westösterreich,Testhospital - West Austria
AT3_TEST,SHORT_NAME,f,Testhosp. AT3,
AT3_TEST_TEST,NAME,t,Testdepartment - Westösterreich,Testdepartment - West Austria
AT3_TEST_TEST,SHORT_NAME,f,Testdep. AT3,
BE1_TEST,NAME,t,Testhospital - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testhospital - Brussels-Capital Region
BE1_TEST,SHORT_NAME,f,Testhosp. BE1,
BE1_TEST_TEST,NAME,t,Testdepartment - Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Testdepartment - Brussels-Capital Region
BE1_TEST_TEST,SHORT_NAME,f,Testdep. BE1,
BE2_TEST,NAME,t,Testhospital - Vlaams Gewest,Testhospital - Flemish Region
BE2_TEST,SHORT_NAME,f,Testhosp. BE2,
BE2_TEST_TEST,NAME,t,Testdepartment - Vlaams Gewest,Testdepartment - Flemish Region
BE2_TEST_TEST,SHORT_NAME,f,Testdep. BE2,
BE3_TEST,NAME,t,Testhospital - Région wallonne,Testhospital - Walloon Region
BE3_TEST,SHORT_NAME,f,Testhosp. BE3,
BE3_TEST_TEST,NAME,t,Testdepartment - Région wallonne,Testdepartment - Walloon Region
BE3_TEST_TEST,SHORT_NAME,f,Testdep. BE3,
BG3_TEST,NAME,t,Testhospital - Северна и Югоизточна България,Testhospital - Northern and Eastern Bulgaria
BG3_TEST,SHORT_NAME,f,Testhosp. BG3,
BG3_TEST_TEST,NAME,t,Testdepartment - Северна и Югоизточна България,Testdepartment - Northern and Eastern Bulgaria
BG3_TEST_TEST,SHORT_NAME,f,Testdep. BG3,
BG4_TEST,NAME,t,Testhospital - Югозападна и Южна централна България,Testhospital - South-Western and South-Central Bulgaria
BG4_TEST,SHORT_NAME,f,Testhosp. BG4,
BG4_TEST_TEST,NAME,t,Testdepartment - Югозападна и Южна централна България,Testdepartment - South-Western and South-Central Bulgaria
BG4_TEST_TEST,SHORT_NAME,f,Testdep. BG4,
CH0_TEST,NAME,t,Testhospital - Schweiz/Suisse/Svizzera,Testhospital - Switzerland
CH0_TEST,SHORT_NAME,f,Testhosp. CH0,
CH0_TEST_TEST,NAME,t,Testdepartment - Schweiz/Suisse/Svizzera,Testdepartment - Switzerland
CH0_TEST_TEST,SHORT_NAME,f,Testdep. CH0,
CY0_TEST,NAME,t,Testhospital - Κύπρος,Testhospital - Cyprus
CY0_TEST,SHORT_NAME,f,Testhosp. CY0,
CY0_TEST_TEST,NAME,t,Testdepartment - Κύπρος,Testdepartment - Cyprus
CY0_TEST_TEST,SHORT_NAME,f,Testdep. CY0,
CZ0_TEST,NAME,t,Testhospital - Česko,Testhospital - Czech Republic
CZ0_TEST,SHORT_NAME,f,Testhosp. CZ0,
CZ0_TEST_TEST,NAME,t,Testdepartment - Česko,Testdepartment - Czech Republic
CZ0_TEST_TEST,SHORT_NAME,f,Testdep. CZ0,
DE1_TEST,NAME,f,Testhospital - Baden-Württemberg,
DE1_TEST,SHORT_NAME,f,Testhosp. DE1,
DE1_TEST_TEST,NAME,f,Testdepartment - Baden-Württemberg,
DE1_TEST_TEST,SHORT_NAME,f,Testdep. DE1,
DE2_TEST,NAME,t,Testhospital - Bayern,Testhospital - Bavaria
DE2_TEST,SHORT_NAME,f,Testhosp. DE2,
DE2_TEST_TEST,NAME,t,Testdepartment - Bayern,Testdepartment - Bavaria
DE2_TEST_TEST,SHORT_NAME,f,Testdep. DE2,
DE3_TEST,NAME,f,Testhospital - Berlin,
DE3_TEST,SHORT_NAME,f,Testhosp. DE3,
DE3_TEST_TEST,NAME,f,Testdepartment - Berlin,
DE3_TEST_TEST,SHORT_NAME,f,Testdep. DE3,
DE4_TEST,NAME,f,Testhospital - Brandenburg,
DE4_TEST,SHORT_NAME,f,Testhosp. DE4,
DE4_TEST_TEST,NAME,f,Testdepartment - Brandenburg,
DE4_TEST_TEST,SHORT_NAME,f,Testdep. DE4,
DE5_TEST,NAME,f,Testhospital - Bremen,
DE5_TEST,SHORT_NAME,f,Testhosp. DE5,
DE5_TEST_TEST,NAME,f,Testdepartment - Bremen,
DE5_TEST_TEST,SHORT_NAME,f,Testdep. DE5,
DE6_TEST,NAME,f,Testhospital - Hamburg,
DE6_TEST,SHORT_NAME,f,Testhosp. DE6,
DE6_TEST_TEST,NAME,f,Testdepartment - Hamburg,
DE6_TEST_TEST,SHORT_NAME,f,Testdep. DE6,
DE7_TEST,NAME,t,Testhospital - Hessen,Testhospital - Hesse
DE7_TEST,SHORT_NAME,f,Testhosp. DE7,
DE7_TEST_TEST,NAME,t,Testdepartment - Hessen,Testdepartment - Hesse
DE7_TEST_TEST,SHORT_NAME,f,Testdep. DE7,
DE8_TEST,NAME,f,Testhospital - Mecklenburg-Vorpommern,
DE8_TEST,SHORT_NAME,f,Testhosp. DE8,
DE8_TEST_TEST,NAME,f,Testdepartment - Mecklenburg-Vorpommern,
DE8_TEST_TEST,SHORT_NAME,f,Testdep. DE8,
DE9_TEST,NAME,t,Testhospital - Niedersachsen,Testhospital - Lower Saxony
DE9_TEST,SHORT_NAME,f,Testhosp. DE9,
DE9_TEST_TEST,NAME,t,Testdepartment - Niedersachsen,Testdepartment - Lower Saxony
DE9_TEST_TEST,SHORT_NAME,f,Testdep. DE9,
DEA_TEST,NAME,t,Testhospital - Nordrhein-Westfalen,Testhospital - North Rhine-Westphalia
DEA_TEST,SHORT_NAME,f,Testhosp. DEA,
DEA_TEST_TEST,NAME,t,Testdepartment - Nordrhein-Westfalen,Testdepartment - North Rhine-Westphalia
DEA_TEST_TEST,SHORT_NAME,f,Testdep. DEA,
DEB_TEST,NAME,t,Testhospital - Rheinland-Pfalz,Testhospital - Rhineland-Palatinate
DEB_TEST,SHORT_NAME,f,Testhosp. DEB,
DEB_TEST_TEST,NAME,t,Testdepartment - Rheinland-Pfalz,Testdepartment - Rhineland-Palatinate
DEB_TEST_TEST,SHORT_NAME,f,Testdep. DEB,
DEC_TEST,NAME,f,Testhospital - Saarland,
DEC_TEST,SHORT_NAME,f,Testhosp. DEC,
DEC_TEST_TEST,NAME,f,Testdepartment - Saarland,
DEC_TEST_TEST,SHORT_NAME,f,Testdep. DEC,
DED_TEST,NAME,t,Testhospital - Sachsen,Testhospital - Saxony
DED_TEST,SHORT_NAME,f,Testhosp. DED,
DED_TEST_TEST,NAME,t,Testdepartment - Sachsen,Testdepartment - Saxony
DED_TEST_TEST,SHORT_NAME,f,Testdep. DED,
DEE_TEST,NAME,t,Testhospital - Sachsen-Anhalt,Testhospital - Saxony-Anhalt
DEE_TEST,SHORT_NAME,f,Testhosp. DEE,
DEE_TEST_TEST,NAME,t,Testdepartment - Sachsen-Anhalt,Testdepartment - Saxony-Anhalt
DEE_TEST_TEST,SHORT_NAME,f,Testdep. DEE,
DEF_TEST,NAME,f,Testhospital - Schleswig-Holstein,
DEF_TEST,SHORT_NAME,f,Testhosp. DEF,
DEF_TEST_TEST,NAME,f,Testdepartment - Schleswig-Holstein,
DEF_TEST_TEST,SHORT_NAME,f,Testdep. DEF,
DEG_TEST,NAME,t,Testhospital - Thüringen,Testhospital - Thuringia
DEG_TEST,SHORT_NAME,f,Testhosp. DEG,
DEG_TEST_TEST,NAME,t,Testdepartment - Thüringen,Testdepartment - Thuringia
DEG_TEST_TEST,SHORT_NAME,f,Testdep. DEG,
DK0_TEST,NAME,t,Testhospital - Danmark,Testhospital - Denmark
DK0_TEST,SHORT_NAME,f,Testhosp. DK0,
DK0_TEST_TEST,NAME,t,Testdepartment - Danmark,Testdepartment - Denmark
DK0_TEST_TEST,SHORT_NAME,f,Testdep. DK0,
EE0_TEST,NAME,t,Testhospital - Eesti,Testhospital - Estonia
EE0_TEST,SHORT_NAME,f,Testhosp. EE0,
EE0_TEST_TEST,NAME,t,Testdepartment - Eesti,Testdepartment - Estonia
EE0_TEST_TEST,SHORT_NAME,f,Testdep. EE0,
EL3_TEST,NAME,t,Testhospital - Αττική,Testhospital - Attica
EL3_TEST,SHORT_NAME,f,Testhosp. EL3,
EL3_TEST_TEST,NAME,t,Testdepartment - Αττική,Testdepartment - Attica
EL3_TEST_TEST,SHORT_NAME,f,Testdep. EL3,
EL4_TEST,NAME,t,"Testhospital - Νησιά Αιγαίου, Κρήτη","Testhospital - Nisia Aigaiou, Kriti"
EL4_TEST,SHORT_NAME,f,Testhosp. EL4,
EL4_TEST_TEST,NAME,t,"Testdepartment - Νησιά Αιγαίου, Κρήτη","Testdepartment - Nisia Aigaiou, Kriti"
EL4_TEST_TEST,SHORT_NAME,f,Testdep. EL4,
EL5_TEST,NAME,t,Testhospital - Βόρεια Ελλάδα,Testhospital - Voreia Ellada
EL5_TEST,SHORT_NAME,f,Testhosp. EL5,
EL5_TEST_TEST,NAME,t,Testdepartment - Βόρεια Ελλάδα,Testdepartment - Voreia Ellada
EL5_TEST_TEST,SHORT_NAME,f,Testdep. EL5,
EL6_TEST,NAME,t,Testhospital - Κεντρική Ελλάδα,Testhospital - Kentriki Ellada
EL6_TEST,SHORT_NAME,f,Testhosp. EL6,
EL6_TEST_TEST,NAME,t,Testdepartment - Κεντρική Ελλάδα,Testdepartment - Kentriki Ellada
EL6_TEST_TEST,SHORT_NAME,f,Testdep. EL6,
ES1_TEST,NAME,t,Testhospital - Noroeste,Testhospital - North West
ES1_TEST,SHORT_NAME,f,Testhosp. ES1,
ES1_TEST_TEST,NAME,t,Testdepartment - Noroeste,Testdepartment - North West
ES1_TEST_TEST,SHORT_NAME,f,Testdep. ES1,
ES2_TEST,NAME,t,Testhospital - Noreste,Testhospital - North East
ES2_TEST,SHORT_NAME,f,Testhosp. ES2,
ES2_TEST_TEST,NAME,t,Testdepartment - Noreste,Testdepartment - North East
ES2_TEST_TEST,SHORT_NAME,f,Testdep. ES2,
ES3_TEST,NAME,t,Testhospital - Comunidad de Madrid,Testhospital - Community of Madrid
ES3_TEST,SHORT_NAME,f,Testhosp. ES3,
ES3_TEST_TEST,NAME,t,Testdepartment - Comunidad de Madrid,Testdepartment - Community of Madrid
ES3_TEST_TEST,SHORT_NAME,f,Testdep. ES3,
ES4_TEST,NAME,t,Testhospital - Centro (ES),Testhospital - Centre
ES4_TEST,SHORT_NAME,f,Testhosp. ES4,
ES4_TEST_TEST,NAME,t,Testdepartment - Centro (ES),Testdepartment - Centre
ES4_TEST_TEST,SHORT_NAME,f,Testdep. ES4,
ES5_TEST,NAME,t,Testhospital - Este,Testhospital - East
ES5_TEST,SHORT_NAME,f,Testhosp. ES5,
ES5_TEST_TEST,NAME,t,Testdepartment - Este,Testdepartment - East
ES5_TEST_TEST,SHORT_NAME,f,Testdep. ES5,
ES6_TEST,NAME,t,Testhospital - Sur,Testhospital - South
ES6_TEST,SHORT_NAME,f,Testhosp. ES6,
ES6_TEST_TEST,NAME,t,Testdepartment - Sur,Testdepartment - South
ES6_TEST_TEST,SHORT_NAME,f,Testdep. ES6,
ES7_TEST,NAME,t,Testhospital - Canarias,Testhospital - Canary Islands
ES7_TEST,SHORT_NAME,f,Testhosp. ES7,
ES7_TEST_TEST,NAME,t,Testdepartment - Canarias,Testdepartment - Canary Islands
ES7_TEST_TEST,SHORT_NAME,f,Testdep. ES7,
FI1_TEST,NAME,t,Testhospital - Manner-Suomi,Testhospital - Mainland Finland
FI1_TEST,SHORT_NAME,f,Testhosp. FI1,
FI1_TEST_TEST,NAME,t,Testdepartment - Manner-Suomi,Testdepartment - Mainland Finland
FI1_TEST_TEST,SHORT_NAME,f,Testdep. FI1,
FI2_TEST,NAME,f,Testhospital - Åland,
FI2_TEST,SHORT_NAME,f,Testhosp. FI2,
FI2_TEST_TEST,NAME,f,Testdepartment - Åland,
FI2_TEST_TEST,SHORT_NAME,f,Testdep. FI2,
FR1_TEST,NAME,f,Testhospital - Île-de-France,
FR1_TEST,SHORT_NAME,f,Testhosp. FR1,
FR1_TEST_TEST,NAME,f,Testdepartment - Île-de-France,
FR1_TEST_TEST,SHORT_NAME,f,Testdep. FR1,
FRB_TEST,NAME,f,Testhospital - Centre — Val de Loire,
FRB_TEST,SHORT_NAME,f,Testhosp. FRB,
FRB_TEST_TEST,NAME,f,Testdepartment - Centre — Val de Loire,
FRB_TEST_TEST,SHORT_NAME,f,Testdep. FRB,
FRC_TEST,NAME,f,Testhospital - Bourgogne-Franche-Comté,
FRC_TEST,SHORT_NAME,f,Testhosp. FRC,
FRC_TEST_TEST,NAME,f,Testdepartment - Bourgogne-Franche-Comté,
FRC_TEST_TEST,SHORT_NAME,f,Testdep. FRC,
FRD_TEST,NAME,t,Testhospital - Normandie,Testhospital - Normandy
FRD_TEST,SHORT_NAME,f,Testhosp. FRD,
FRD_TEST_TEST,NAME,t,Testdepartment - Normandie,Testdepartment - Normandy
FRD_TEST_TEST,SHORT_NAME,f,Testdep. FRD,
FRE_TEST,NAME,f,Testhospital - Hauts-de-France,
FRE_TEST,SHORT_NAME,f,Testhosp. FRE,
FRE_TEST_TEST,NAME,f,Testdepartment - Hauts-de-France,
FRE_TEST_TEST,SHORT_NAME,f,Testdep. FRE,
FRF_TEST,NAME,f,Testhospital - Grand Est,
FRF_TEST,SHORT_NAME,f,Testhosp. FRF,
FRF_TEST_TEST,NAME,f,Testdepartment - Grand Est,
FRF_TEST_TEST,SHORT_NAME,f,Testdep. FRF,
FRG_TEST,NAME,f,Testhospital - Pays de la Loire,
FRG_TEST,SHORT_NAME,f,Testhosp. FRG,
FRG_TEST_TEST,NAME,f,Testdepartment - Pays de la Loire,
FRG_TEST_TEST,SHORT_NAME,f,Testdep. FRG,
FRH_TEST,NAME,t,Testhospital - Bretagne,Testhospital - Brittany
FRH_TEST,SHORT_NAME,f,Testhosp. FRH,
FRH_TEST_TEST,NAME,t,Testdepartment - Bretagne,Testdepartment - Brittany
FRH_TEST_TEST,SHORT_NAME,f,Testdep. FRH,
FRI_TEST,NAME,f,Testhospital - Nouvelle-Aquitaine,
FRI_TEST,SHORT_NAME,f,Testhosp. FRI,
FRI_TEST_TEST,NAME,f,Testdepartment - Nouvelle-Aquitaine,
FRI_TEST_TEST,SHORT_NAME,f,Testdep. FRI,
FRJ_TEST,NAME,f,Testhospital - Occitanie,
FRJ_TEST,SHORT_NAME,f,Testhosp. FRJ,
FRJ_TEST_TEST,NAME,f,Testdepartment - Occitanie,
FRJ_TEST_TEST,SHORT_NAME,f,Testdep. FRJ,
FRK_TEST,NAME,f,Testhospital - Auvergne-Rhône-Alpes,
FRK_TEST,SHORT_NAME,f,Testhosp. FRK,
FRK_TEST_TEST,NAME,f,Testdepartment - Auvergne-Rhône-Alpes,
FRK_TEST_TEST,SHORT_NAME,f,Testdep. FRK,
FRL_TEST,NAME,f,Testhospital - Provence-Alpes-Côte d’Azur,
FRL_TEST,SHORT_NAME,f,Testhosp. FRL,
FRL_TEST_TEST,NAME,f,Testdepartment - Provence-Alpes-Côte d’Azur,
FRL_TEST_TEST,SHORT_NAME,f,Testdep. FRL,
FRM_TEST,NAME,t,Testhospital - Corse,Testhospital - Corsica
FRM_TEST,SHORT_NAME,f,Testhosp. FRM,
FRM_TEST_TEST,NAME,t,Testdepartment - Corse,Testdepartment - Corsica
FRM_TEST_TEST,SHORT_NAME,f,Testdep. FRM,
FRY_TEST,NAME,t,Testhospital - RUP FR — Régions Ultrapériphériques Françaises,Testhospital - Overseas departments and regions
FRY_TEST,SHORT_NAME,f,Testhosp. FRY,
FRY_TEST_TEST,NAME,t,Testdepartment - RUP FR — Régions Ultrapériphériques Françaises,Testdepartment - Overseas departments and regions
FRY_TEST_TEST,SHORT_NAME,f,Testdep. FRY,
HR0_TEST,NAME,t,Testhospital - Hrvatska,Testhospital - Croatia
HR0_TEST,SHORT_NAME,f,Testhosp. HR0,
HR0_TEST_TEST,NAME,t,Testdepartment - Hrvatska,Testdepartment - Croatia
HR0_TEST_TEST,SHORT_NAME,f,Testdep. HR0,
HU1_TEST,NAME,t,Testhospital - Közép-Magyarország,Testhospital - Central Hungary
HU1_TEST,SHORT_NAME,f,Testhosp. HU1,
HU1_TEST_TEST,NAME,t,Testdepartment - Közép-Magyarország,Testdepartment - Central Hungary
HU1_TEST_TEST,SHORT_NAME,f,Testdep. HU1,
